arise	arose	arisen
awake	awoke	awoken
be	was	been
bear	bore	borne
beat	beat	beaten
become	became	become
begin	began	begun
bend	bent	bent
bet	bet	bet
bid	bid	bid
bite	bit	bitten
bleed	bled	bled
blow	blew	blown
break	broke	broken
bring	brought	brought
build	built	built
burn	burnt	burnt
burst	burst	burst
buy	bought	bought
catch	caught	caught
choose	chose	chosen
cling	clung	clung
come	came	come
cost	cost	cost
creep	crept	crept
cut	cut	cut
deal	dealt	dealt
dig	dug	dug
do	did	done
draw	drew	drawn
dream	dreamt	dreamt
drink	drank	drunk
drive	drove	driven
eat	ate	eaten
fall	fell	fallen
feed	fed	fed
feel	felt	felt
fight	fought	fought
find	found	found
fit	fit	fit
flee	fled	fled
fling	flung	flung
fly	flew	flown
forbid	forbade	forbidden
forget	forgot	forgotten
forgive	forgave	forgiven
freeze	froze	frozen
get	got	got/gotten
give	gave	given
go	went	gone
grow	grew	grown
hang	hung	hung
have	had	had
hear	heard	heard
hide	hid	hidden
hit	hit	hit
hold	held	held
hurt	hurt	hurt
keep	kept	kept
kneel	knelt	knelt
knit	knit	knit
know	knew	known
lay	laid	laid
lead	led	led
lean	leant	leant
leap	leapt	leapt
leave	left	left
lend	lent	lent
let	let	let
lie	lay	lain
light	lit	lit
lose	lost	lost
make	made	made
mean	meant	meant
meet	met	met
pay	paid	paid
put	put	put
quit	quit	quit
read	read	read
ride	rode	ridden
ring	rang	rung
rise	rose	risen
run	ran	run
saw	sawed	sawed
say	said	said
see	saw	seen
sell	sold	sold
send	sent	sent
set	set	set
sew	sewed	sewn
shake	shook	shaken
shine	shone	shone
shoot	shot	shot
show	showed	shown
shrink	shrank	shrunk
shut	shut	shut
sing	sang	sung
sink	sank	sunk
sit	sat	sat
sleep	slept	slept
slide	slid	slid
smell	smelt	smelt
speak	spoke	spoken
spend	spent	spent
spill	spilt	spilt
spin	spun	spun
spit	spat	spat
split	split	split
spoil	spoilt	spoilt
spread	spread	spread
spring	sprang	sprung
squat	squatted	squatted
stand	stood	stood
sting	stung	stung
stink	stank	stunk
stride	strode	stridden
strike	struck	struck
string	strung	strung
strive	strove	striven
swear	swore	sworn
sweep	swept	swept
swell	swelled	swollen
swim	swam	swum
swing	swung	swung
take	took	taken
teach	taught	taught
tear	tore	torn
tell	told	told
think	thought	thought
throw	threw	thrown
thrust	thrust	thrust
tread	trod	trodden
understand	understood	understood
upset	upset	upset
wake	woke	woken
wear	wore	worn
weave	wove	woven
weep	wept	wept
win	won	won
wind	wound	wound
withdraw	withdrew	withdrawn
withstand	withstood	withstood
wring	wrung	wrung
write	wrote	written
